stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,vehicle_type
0100053315,bstjgdm,"Filwood Park, Willinton Road (W-bound)",51.42472,-2.57622,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053315,3
0100053316,bstjpdm,"Knowle, Broad Wlk Shops (SW-bound)",51.43356,-2.567,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053316,3
0100053318,bstjmpg,"Whitchurch, East Dundry Road (E-bound, Unmarked)",51.40679,-2.56956,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053318,3
0100053319,bstjmpd,"Whitchurch, East Dundry Road (W-bound, Unmarked)",51.40672,-2.56958,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053319,3
0100053320,bstjtjg,"Hengrove, Beryl Grove (W-bound)",51.42604,-2.56239,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053320,3
0100053321,bstatgm,"Highridge, Dangerfield Avenue (SE-bound)",51.41448,-2.62375,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053321,3
0100053324,bstatmd,"Ashton Vale, Swiss Road (SW-bound, Unmarked)",51.43015,-2.62336,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053324,3
0100053325,bstatjw,"Ashton Vale, Swiss Road (NE-bound, Unmarked)",51.43022,-2.62343,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053325,3
0100053328,bstdjaj,"Bedminster Down, Ilchester Crescent (N-bound)",51.42814,-2.61191,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053328,3
0100053329,bstdjdp,"Bedminster Down, Ilchester Crescent (Stop B)",51.43039,-2.61135,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053329,3
0100053330,bstdjtd,"Bedminster Down, Ilchester Crescent (SW-bound)",51.43013,-2.60961,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053330,3
0100053331,bstdjmg,"Bedminster Down, Ilchester Crescent (S-bound)",51.42839,-2.61055,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053331,3
